Department,Test Name,Story‑telling (Arabic),Story‑telling (English)
Endocrinology – Thyroid,Total T4,"
فحص التي فور الكلي يشبه قياس كل الوقود الاحتياطي المخزون في نظام جسمك بالكامل، الجاهز للتحويل إلى طاقة نشطة عند الحاجة. تصنع غدتك الدرقية هرمون التي فور، والذي يشبه وجود احتياطيات وقود تتحول إلى قوة لاحقاً. هذا الفحص يحسب كل التي فور في دمك، بما في ذلك الهرمون المحمول بواسطة بروتينات خاصة، مثل حساب كل حاويات الوقود الاحتياطية في مرآبك وسيارتك. معظم هرمونات غدتك الدرقية هي التي فور، والتي تصبح لاحقاً التي ثري الأقوى عندما يحتاجها جسمك. عندما يكون التي فور الكلي طبيعياً، لديك احتياطيات طاقة جيدة. إذا كان منخفضاً، تشعر بالبرد والتعب، وإذا كان مرتفعاً، تشعر بالحر والقلق.","Total T4 is like measuring all the backup fuel stored in your body's entire system, ready to be converted to active energy when needed. Your thyroid makes T4 hormone, which is like having fuel reserves that get turned into power later. This test counts all the T4 in your blood, including the hormone carried by special proteins, similar to counting all the spare fuel containers in your garage and car. Most of your thyroid hormone is T4, which later becomes the stronger T3 when your body needs it. When Total T4 is normal, you have good energy reserves. If it's low, you feel cold and tired, and if it's high, you feel hot and restless."
Hematology – CBC,Basophils (Abs & %),فحص الخلايا القاعدية (العدد والنسبة) يشبه الفحص بفريق متخصص بالحساسية الخاص في جسمك. هذه خلايا دم بيضاء تعمل مثل حراس الأمن الذين يفعلون تنبيهات الخطر عندما تحاول المواد المسببة للحساسية أو الطفيليات دخول جسمك. فكر فيها كأول المستجيبين الذين يطلقون مواد كيميائية تحذيرية عند اكتشاف المشاكل، مثل أجهزة كشف الدخان في منزلك. العدد المطلق يخبرك بالرقم الدقيق لهذه الخلايا، بينما النسبة تظهر أي جزء من خلايا الدم البيضاء تمثله. المستويات الطبيعية تعني أن دفاع الحساسية يعمل بشكل صحيح. المستويات العالية قد تشير إلى وجود حساسية أو التهابات أو مشاكل أخرى في جهاز المناعة. يستخدم الأطباء هذا الفحص لفهم ردود الفعل التحسسية واضطرابات الدم معينة.,"Basophils (Abs & %) is like checking your body's special allergy patrol team. These are white blood cells that work like security guards who sound the alarm when allergens or parasites try to enter your body. Think of them as the first responders who release warning chemicals when they detect trouble, similar to smoke detectors in your home. The absolute count tells you the exact number of these cells, while the percentage shows what portion of your white blood cells they represent. Normal levels mean your allergy defense is working properly. High levels might suggest you have allergies, infections, or other immune system problems. Doctors use this test to understand allergic reactions and certain blood disorders."
Hematology – CBC,Eosinophils (Abs & %),"
فحص الخلايا الحمضية (العدد والنسبة) يشبه فحص طاقم التنظيف المتخصص في جسمك الذي يحارب الطفيليات ويتعامل مع ردود الفعل التحسسية. هذه خلايا الدم البيضاء تعمل مثل عمال ماهرين يعرفون تماماً كيفية التعامل مع الديدان والمواد المسببة للحساسية والتهابات معينة. فكر فيها كخبراء مكافحة الآفات الذين يهرعون إلى المكان عند ظهور غزاة غير مرغوب فيهم في منزلك. العدد المطلق يظهر الرقم الدقيق لهذه الخلايا المقاتلة، بينما النسبة تخبرك أي جزء من جيش المناعة تشكله. المستويات الطبيعية تعني حماية جيدة ضد الطفيليات والحساسية. المستويات العالية غالباً تشير إلى وجود حساسية أو ربو أو التهابات طفيلية. يستخدم الأطباء هذا الفحص لتشخيص الحالات التحسسية والأمراض الطفيلية","Eosinophils (Abs & %) is like checking your body's specialized cleanup crew that fights parasites and handles allergic reactions. These white blood cells work like skilled workers who know exactly how to deal with worms, allergens, and certain infections. Think of them as pest control experts who rush to the scene when unwanted invaders appear in your home. The absolute count shows the exact number of these fighter cells, while the percentage tells you what portion of your immune army they make up. Normal levels mean good protection against parasites and allergies. High levels often suggest you have allergies, asthma, or parasitic infections. Doctors use this test to diagnose allergic conditions and parasitic diseases."
Hematology – CBC,Hematocrit,فحص الهيماتوكريت يشبه فحص أي نسبة من دمك تتكون من خلايا الدم الحمراء مقارنة بالجزء السائل. فكر في دمك كعصير فواكه مخلوط حيث اللب يمثل خلايا الدم الحمراء والسائل الشفاف هو البلازما. هذا الفحص يقيس مدى كثافة أو رقة دمك من خلال إظهار النسبة بين هذه الأجزاء. الهيماتوكريت الطبيعي يعني أن لديك التوازن الصحيح من خلايا الدم الحمراء لحمل الأكسجين بكفاءة. إذا كان منخفضاً جداً، قد تعاني من فقر الدم وتشعر بالتعب لأن دمك لا يستطيع حمل أكسجين كافٍ. إذا كان مرتفعاً جداً، يصبح دمك كثيفاً جداً، مما يجعل قلبك يعمل بجهد أكبر. يستخدم الأطباء هذا الفحص للتحقق من فقر الدم أو الجفاف أو اضطرابات الدم.,"Hematocrit is like checking what percentage of your blood is made up of red blood cells compared to the liquid part. Think of your blood as a mixed fruit juice where the pulp represents red blood cells and the clear liquid is plasma. This test measures how thick or thin your blood is by showing the ratio between these parts. Normal hematocrit means you have the right balance of red blood cells to carry oxygen efficiently. If it's too low, you might have anemia and feel tired because your blood can't carry enough oxygen. If it's too high, your blood becomes too thick, making your heart work harder. Doctors use this test to check for anemia, dehydration, or blood disorders."
Hematology – CBC,Hemoglobin,فحص الهيموجلوبين يشبه فحص شاحنات توصيل الأكسجين في مجرى دمك. هذه بروتينات خاصة داخل خلايا الدم الحمراء تحمل الأكسجين من رئتيك إلى كل جزء في جسمك، مثل شاحنات التوصيل التي تحمل البضائع في جميع أنحاء المدينة. هذا الفحص يقيس كم لديك من حاملات الأكسجين هذه ومدى جودة عملها. مستويات الهيموجلوبين الطبيعية تعني أن جسمك يحصل على أكسجين كافٍ ليعمل بشكل صحيح. إذا كان منخفضاً جداً، لديك فقر دم وتشعر بالتعب والضعف وضيق التنفس لأن أعضاءك لا تحصل على أكسجين كافٍ. إذا كان مرتفعاً جداً، يصبح دمك كثيفاً ويتدفق بصعوبة. يستخدم الأطباء هذا الفحص لتشخيص فقر الدم ومراقبة صحة دمك.,"Hemoglobin is like checking the oxygen delivery trucks in your bloodstream. These are special proteins inside your red blood cells that carry oxygen from your lungs to every part of your body, similar to delivery trucks carrying goods throughout the city. This test measures how many of these oxygen carriers you have and how well they're working. Normal hemoglobin levels mean your body gets enough oxygen to function properly. If it's too low, you have anemia and feel tired, weak, and short of breath because your organs aren't getting enough oxygen. If it's too high, your blood becomes thick and flows poorly. Doctors use this test to diagnose anemia and monitor your blood health."
Hematology – CBC,Lymphocytes (Abs & %),فحص الخلايا اللمفاوية (العدد والنسبة) يشبه فحص فريق الأمن الذكي في جسمك الذي يتذكر ويحارب التهديدات المحددة. هذه خلايا الدم البيضاء تعمل مثل حراس ذوي خبرة يمكنهم التعرف على مثيري الشغب الذين رأوهم من قبل ويطلبون المساعدة عند الحاجة. فكر فيها كبنك ذاكرة جسمك الذي يخزن معلومات عن الفيروسات والبكتيريا والغزاة الآخرين لمحاربتهم بشكل أفضل في المرة القادمة. العدد المطلق يظهر بالضبط كم لديك من هؤلاء المدافعين الأذكياء، بينما النسبة تخبرك أي جزء من جيش المناعة يمثلون. المستويات الطبيعية تعني حماية جيدة ضد العدوى. المستويات العالية قد تشير إلى التهابات فيروسية أو مشاكل في جهاز المناعة، بينما المستويات المنخفضة قد تعني أن جسمك يكافح لمحاربة الأمراض,"Lymphocytes (Abs & %) is like checking your body's smart security team that remembers and fights specific threats. These white blood cells work like experienced guards who can recognize troublemakers they've seen before and call for backup when needed. Think of them as your body's memory bank that stores information about viruses, bacteria, and other invaders to fight them better next time. The absolute count shows exactly how many of these smart defenders you have, while the percentage tells you what portion of your immune army they represent. Normal levels mean good protection against infections. High levels might suggest viral infections or immune system problems, while low levels could mean your body struggles to fight diseases."
Hematology – CBC,Mean Corpuscular Hemoglobin (MCH),فحص متوسط الهيموجلوبين الخلوي يشبه فحص كم من البضائع تحملها كل شاحنة توصيل في دمك. خلايا الدم الحمراء مثل الشاحنات التي تحمل الهيموجلوبين، والذي يوصل الأكسجين في جميع أنحاء جسمك. هذا الفحص يقيس متوسط كمية الهيموجلوبين المعبأة في كل خلية دم حمراء، مثل وزن الحمولة في كل شاحنة توصيل. متوسط الهيموجلوبين الخلوي الطبيعي يعني أن خلايا الدم الحمراء تحمل الكمية المناسبة من حاملات الأكسجين. إذا كان منخفضاً جداً، كل خلية تحمل أكسجين أقل، مما يجعلك تشعر بالتعب. إذا كان مرتفعاً جداً، قد تكون الخلايا كبيرة جداً أو تالفة. يستخدم الأطباء هذا الفحص مع فحوصات الدم الأخرى لتشخيص أنواع مختلفة من فقر الدم واضطرابات الدم.,"Mean Corpuscular Hemoglobin (MCH) is like checking how much cargo each delivery truck in your blood is carrying. Your red blood cells are like trucks that carry hemoglobin, which delivers oxygen throughout your body. This test measures the average amount of hemoglobin packed into each red blood cell, similar to weighing the load in each delivery truck. Normal MCH means your red blood cells are carrying the right amount of oxygen carriers. If it's too low, each cell carries less oxygen, making you feel tired. If it's too high, the cells might be too big or damaged. Doctors use this test along with other blood tests to diagnose different types of anemia and blood disorders."
Hematology – CBC,Mean Corpuscular Hemoglobin Concentration (MCHC),فحص تركيز متوسط الهيموجلوبين الخلوي يشبه فحص مدى تركيز البضائع داخل كل شاحنة توصيل في دمك. بينما متوسط الهيموجلوبين الخلوي يخبرك بالكمية الإجمالية للهيموجلوبين في كل خلية دم حمراء، تركيز متوسط الهيموجلوبين الخلوي يخبرك مدى انضغاط ذلك الهيموجلوبين داخل الخلية، مثل فحص ما إذا كانت بضائع الشاحنة متناثرة بشكل فضفاض أم معبأة بإحكام. هذا الفحص يقيس تركيز البروتين الحامل للأكسجين في خلايا الدم الحمراء. تركيز متوسط الهيموجلوبين الخلوي الطبيعي يعني أن خلايا الدم الحمراء مملوءة بشكل صحيح بالهيموجلوبين. إذا كان منخفضاً جداً، تكون الخلايا شاحبة وتحمل الأكسجين بضعف. إذا كان مرتفعاً جداً، قد تكون الخلايا تالفة أو مجففة. يستخدم الأطباء هذا الفحص لتحديد أنواع محددة من فقر الدم.,"Mean Corpuscular Hemoglobin Concentration (MCHC) is like checking how concentrated the cargo is inside each delivery truck in your blood. While MCH tells you the total amount of hemoglobin in each red blood cell, MCHC tells you how tightly packed that hemoglobin is inside the cell, similar to checking if a truck's cargo is loosely scattered or tightly packed. This test measures the concentration of oxygen carrying protein in your red blood cells. Normal MCHC means your red blood cells are properly filled with hemoglobin. If it's too low, the cells are pale and carry oxygen poorly. If it's too high, the cells might be damaged or dehydrated. Doctors use this test to identify specific types of anemia."
Hematology – CBC,Mean Corpuscular Volume (MCV),فحص متوسط حجم الخلية يشبه فحص متوسط حجم شاحنات التوصيل في مجرى الدم. خلايا الدم الحمراء مثل المركبات التي تحمل الأكسجين، وهذا الفحص يقيس مدى كبر أو صغر هذه الخلايا في المتوسط، مثل قياس ما إذا كان أسطول التوصيل يتكون من شاحنات صغيرة أم شاحنات شحن كبيرة. متوسط حجم الخلية الطبيعي يعني أن خلايا الدم الحمراء بالحجم المناسب للعمل بكفاءة. إذا كان منخفضاً جداً، لديك خلايا صغيرة قد لا تحمل أكسجين كافٍ، غالباً بسبب نقص الحديد. إذا كان مرتفعاً جداً، لديك خلايا كبيرة قد تشير إلى نقص الفيتامينات أو مشاكل دم أخرى. يستخدم الأطباء هذا الفحص لمعرفة سبب فقر الدم.,"Mean Corpuscular Volume (MCV) is like checking the average size of your delivery trucks in the bloodstream. Your red blood cells are like vehicles that carry oxygen, and this test measures how big or small these cells are on average, similar to measuring whether your delivery fleet consists of small pickup trucks or large cargo trucks. Normal MCV means your red blood cells are the right size to work efficiently. If it's too low, you have small cells that might not carry enough oxygen, often due to iron deficiency. If it's too high, you have large cells that might indicate vitamin deficiencies or other blood problems. Doctors use this test to figure out what's causing anemia."
Hematology – CBC,Mean Platelet Volume (MPV),فحص متوسط حجم الصفائح الدموية يشبه فحص متوسط حجم رقع الإصلاح في جسمك. الصفائح الدموية خلايا دم صغيرة تعمل مثل فرق الإصلاح الطارئة، تهرع لسد الجروح ووقف النزيف عند إصابتك. هذا الفحص يقيس مدى كبر رقع الإصلاح هذه في المتوسط، مثل فحص ما إذا كانت حقيبة الطوارئ تحتوي على ضمادات صغيرة أم قطع شاش كبيرة. متوسط حجم الصفائح الدموية الطبيعي يعني أن صفائحك الدموية بالحجم المناسب للقيام بعملها بفعالية. إذا كان مرتفعاً، قد تكون لديك صفائح دموية شابة وكبيرة ونشطة جداً، مما قد يشير إلى أن جسمك يصنعها بسرعة بسبب النزيف أو مشاكل أخرى. إذا كان منخفضاً، قد تكون صفائحك الدموية أكبر سناً أو أصغر، مما قد يؤثر على مدى جودة وقفها للنزيف.,"Mean Platelet Volume (MPV) is like checking the average size of your body's repair patches. Platelets are tiny blood cells that work like emergency repair crews, rushing to seal cuts and stop bleeding when you get injured. This test measures how big these repair patches are on average, similar to checking if your emergency kit contains small bandages or large gauze pads. Normal MPV means your platelets are the right size to do their job effectively. If it's high, you might have young, large platelets that are very active, which could suggest your body is making them quickly due to bleeding or other problems. If it's low, your platelets might be older or smaller, which could affect how well they stop bleeding."
Hematology – CBC,Monocytes (Abs & %),فحص الخلايا الوحيدة (العدد والنسبة) يشبه فحص طاقم التنظيف الثقيل في جسمك الذي يتعامل مع الالتهابات الكبيرة وينظف بقايا الخلايا. هذه خلايا الدم البيضاء تعمل مثل مكانس كهربائية قوية يمكنها أكل الجراثيم الكبيرة والخلايا الميتة ومواد النفايات الأخرى التي لا تستطيع خلايا المناعة الأصغر التعامل معها. فكر فيها كآلات التنظيف الصناعية التي تأتي عندما لا تكفي المنظفات العادية. العدد المطلق يظهر بالضبط كم لديك من هؤلاء المنظفين الأقوياء، بينما النسبة تخبرك أي جزء من فريق المناعة يمثلون. المستويات الطبيعية تعني قدرة تنظيف جيدة ضد الالتهابات الخطيرة. المستويات العالية غالباً تشير إلى التهابات مزمنة أو أمراض المناعة الذاتية أو اضطرابات الدم التي تتطلب هؤلاء المقاتلين الأقوياء.,"Monocytes (Abs & %) is like checking your body's heavy duty cleanup crew that handles big infections and cleans up cellular debris. These white blood cells work like powerful vacuum cleaners that can eat up large germs, dead cells, and other waste materials that smaller immune cells can't handle. Think of them as the industrial cleaning machines that come in when regular cleaners aren't enough. The absolute count shows exactly how many of these powerful cleaners you have, while the percentage tells you what portion of your immune team they represent. Normal levels mean good cleanup ability against serious infections. High levels often suggest chronic infections, autoimmune diseases, or blood disorders that require these heavy duty fighters."
Hematology – CBC,Neutrophils (Abs & %),فحص العدلات (العدد والنسبة) يشبه فحص جنود الخط الأمامي في جسمك الذين يهرعون لمحاربة الالتهابات البكتيرية. هذه خلايا الدم البيضاء تعمل مثل أول المستجيبين الذين يصلون بسرعة إلى مكان المشكلة، مثل رجال الإطفاء الذين يهرعون لإطفاء الحرائق قبل انتشارها. إنها الدفاع الرئيسي لجسمك ضد البكتيريا وتشكل الجزء الأكبر من فريق محاربة العدوى. العدد المطلق يخبرك بالضبط كم لديك من مقاتلي الاستجابة السريعة هؤلاء، بينما النسبة تظهر أي جزء من خلايا الدم البيضاء يمثلون. المستويات الطبيعية تعني حماية جيدة ضد الالتهابات البكتيرية. المستويات العالية عادة تشير إلى أنك تحارب التهاب بكتيري، بينما المستويات المنخفضة قد تعني أن جسمك يكافح لطرد الجراثيم.,"Neutrophils (Abs & %) is like checking your body's front line soldiers that rush to fight bacterial infections. These white blood cells work like first responders who arrive quickly at the scene of trouble, similar to firefighters racing to put out fires before they spread. They're your body's main defense against bacteria and make up the largest portion of your infection fighting team. The absolute count tells you exactly how many of these rapid response fighters you have, while the percentage shows what portion of your white blood cells they represent. Normal levels mean good protection against bacterial infections. High levels usually suggest you're fighting a bacterial infection, while low levels could mean your body struggles to fight off germs."
Hematology – CBC,Platelet Count,فحص عدد الصفائح الدموية يدل على كم من رقع الإصلاح الطارئة لديك متاحة في مجرى دمك. الصفائح الدموية خلايا دم صغيرة تعمل مثل الغراء الفوري، تهرع لسد أي جروح أو إصابات لوقف النزيف فوراً. فكر فيها كحقيبة الإصلاح الطارئة في جسمك المستعدة دائماً لإصلاح التسريبات في أوعيتك الدموية، مثل وجود عدة رقع جاهزة لثقوب الإطارات. عدد الصفائح الدموية الطبيعي يعني أن لديك رقع إصلاح كافية لوقف النزيف عند الحاجة. إذا كان العدد منخفضاً جداً، قد تصاب بالكدمات بسهولة أو تنزف لفترات أطول لأنك لا تملك رقع كافية. إذا كان مرتفعاً جداً، قد يتجلط دمك بسهولة جداً، مما قد يكون خطيراً.,"Platelet Count is like checking how many emergency repair patches you have available in your bloodstream. Platelets are tiny blood cells that work like instant glue, rushing to seal any cuts or injuries to stop bleeding immediately. Think of them as your body's emergency repair kit that's always ready to fix leaks in your blood vessels, similar to having patch kits ready for tire punctures. Normal platelet count means you have enough repair patches to stop bleeding when needed. If the count is too low, you might bruise easily or bleed for longer periods because you don't have enough patches. If it's too high, your blood might clot too easily, which can be dangerous."
Hematology – CBC,Red Blood Cell Count (RBC),فحص عدد خلايا الدم الحمراء يشبه الفحص بكم من شاحنات التوصيل لديك في مجرى الدم لحمل الأكسجين في جميع أنحاء جسمك. خلايا الدم الحمراء هذه تعمل مثل أسطول من المركبات التي تلتقط الأكسجين من رئتيك وتوصله إلى كل عضو ونسيج يحتاجه. فكر فيها كنظام النقل في جسمك، مثل عد كم شاحنة لدى شركة التوصيل للتعامل مع جميع شحناتها. عدد خلايا الدم الحمراء الطبيعي يعني أن لديك مركبات كافية لنقل الأكسجين بكفاءة. إذا كان العدد منخفضاً جداً، قد تشعر بالتعب والضعف لأن أعضاءك لا تحصل على أكسجين كافٍ. إذا كان مرتفعاً جداً، يصبح دمك كثيفاً ويتدفق بصعوبة، مما يجعل قلبك يعمل بجهد أكبر.,"Red Blood Cell Count (RBC) is like checking how many delivery trucks you have in your bloodstream to carry oxygen throughout your body. These red blood cells work like a fleet of vehicles that pick up oxygen from your lungs and deliver it to every organ and tissue that needs it. Think of them as your body's transportation system, similar to counting how many trucks a delivery company has to handle all their shipments. Normal RBC count means you have enough vehicles to transport oxygen efficiently. If the count is too low, you might feel tired and weak because your organs aren't getting enough oxygen. If it's too high, your blood becomes thick and flows poorly, making your heart work harder."
Hematology – CBC,Red Cell Distribution Width (RDW),فحص عرض توزيع خلايا الدم الحمراء يدل على ما إذا كانت جميع شاحنات التوصيل بنفس الحجم أم لديك أسطول مختلط من مركبات بأحجام مختلفة. هذا الفحص يقيس مقدار التباين في حجم خلايا الدم الحمراء، مثل رؤية ما إذا كان أسطول النقل لديك يحتوي على شاحنات موحدة أم خليط من الشاحنات الصغيرة والكبيرة. عرض توزيع خلايا الدم الحمراء الطبيعي يعني أن خلايا الدم الحمراء معظمها بنفس الحجم، وهو أمر جيد لتوصيل الأكسجين بكفاءة. إذا كان مرتفعاً، يعني أن لديك خلايا دم حمراء بأحجام مختلفة كثيرة، مما يحدث غالباً عندما يحاول جسمك صنع خلايا دم جديدة بسرعة بسبب فقر الدم أو نقص الفيتامينات أو مشاكل دم أخرى. يستخدم الأطباء هذا الفحص لفهم أي نوع من فقر الدم قد تعاني منه.,"Red Cell Distribution Width (RDW) is like checking if all your delivery trucks are the same size or if you have a mixed fleet of different sized vehicles. This test measures how much variation there is in the size of your red blood cells, similar to seeing whether your transportation fleet has uniform trucks or a mixture of small vans and large trucks. Normal RDW means your red blood cells are mostly the same size, which is good for efficient oxygen delivery. If RDW is high, it means you have red blood cells of many different sizes, which often happens when your body is trying to make new blood cells quickly due to anemia, vitamin deficiencies, or other blood problems. Doctors use this test to understand what type of anemia you might have."
Hematology – CBC,Reticulocyte Count,فحص عدد الخلايا الشبكية يدل على كم من الشاحنات الجديدة تخرج من خط الإنتاج في مصنع جسمك. الخلايا الشبكية هي خلايا دم حمراء شابة تم صنعها للتو في نخاع العظم وتكاد تكون جاهزة لبدء حمل الأكسجين. فكر فيها كشاحنات جديدة تماماً لا تزال تحتاج لبعض اللمسات الأخيرة قبل أن تنضم إلى أسطول التوصيل. هذا الفحص يظهر مدى نشاط نخاع العظم في إنتاج خلايا دم حمراء جديدة. عدد الخلايا الشبكية الطبيعي يعني أن جسمك يصنع الكمية المناسبة من خلايا الدم الجديدة لاستبدال القديمة. إذا كان مرتفعاً، قد يعمل جسمك بجهد إضافي لاستبدال خلايا الدم المفقودة بسبب النزيف أو المدمرة بسبب المرض. إذا كان منخفضاً، قد لا يعمل نخاع العظم بشكل صحيح.,"Reticulocyte Count is like checking how many new delivery trucks are coming off the production line in your body's factory. Reticulocytes are young red blood cells that have just been made in your bone marrow and are almost ready to start carrying oxygen. Think of them as brand new trucks that still need a few finishing touches before they can join the delivery fleet. This test shows how actively your bone marrow is producing new red blood cells. Normal reticulocyte count means your body is making the right amount of new blood cells to replace old ones. If it's high, your body might be working overtime to replace blood cells lost due to bleeding or destroyed by disease. If it's low, your bone marrow might not be working properly."
Hematology – CBC,White Blood Cell Count (WBC),فحص عدد خلايا الدم البيضاء يدل على الحجم الإجمالي لقوة الأمن في جسمك التي تحميك من العدوى والأمراض. خلايا الدم البيضاء تعمل مثل جيش من الجنود المتخصصين المختلفين، بما في ذلك الحراس والكشافة والمقاتلين الأقوياء، جميعهم يعملون معاً لإبقاء الجراثيم الضارة خارج جسمك. فكر فيهم كفريق الحماية الشخصية الذي يدوري في مجرى دمك بحثاً عن المشاكل. عدد خلايا الدم البيضاء الطبيعي يعني أن لديك مدافعين كافيين لمحاربة معظم العدوى. إذا كان العدد مرتفعاً، عادة يعني أن جسمك يحارب بنشاط عدوى أو التهاب أو حالة طبية أخرى. إذا كان منخفضاً، قد يكون جهاز المناعة ضعيفاً، مما يجعلك أكثر عرضة للإصابة بالجراثيم التي يمكن للأشخاص الأصحاء محاربتها بسهولة.,"White Blood Cell Count (WBC) is like checking the total size of your body's security force that protects you from infections and diseases. White blood cells work like an army of different specialized soldiers, including guards, scouts, and heavy fighters, all working together to keep harmful germs out of your body. Think of them as your personal protection team that patrols your bloodstream looking for trouble. Normal WBC count means you have enough defenders to fight off most infections. If the count is high, it usually means your body is actively fighting an infection, inflammation, or other medical condition. If it's low, your immune system might be weakened, making you more likely to get sick from germs that healthy people can easily fight off."
Hematology – Coagulation,D‑dimer,فحص دي-دايمر يدل على البقايا المتبقية بعد انتهاء فريق التنظيف في جسمك من إذابة الجلطات الدموية. عندما تصاب، يكون دمك جلطات لوقف النزيف، ثم ينتج إنزيمات خاصة لتفكيكها بعد اكتمال الشفاء. فكر فيه مثل العثور على الغبار المكنوس بعد تنظيف سوق شعبي مزدحم - كلما زادت البقايا، دل ذلك على حدوث تنظيف أكثر مؤخراً. المستويات الطبيعية تشير إلى عمل نظام التجلط بشكل سليم. المستويات العالية قد تدل على تكوين وتفكيك جلطات حديثة، مما يساعد الأطباء على اكتشاف جلطات الرئتين أو الساقين، رغم أنه قد يرتفع بسبب العدوى أو الجراحة أو الالتهابات.,"D-dimer is like checking the leftover debris after your body's cleanup crew finishes dissolving blood clots. When you get injured, your blood forms clots to stop bleeding, then creates special enzymes to break them down once healing is done. Think of it like finding swept dust after cleaning a busy marketplace - more debris means more cleanup happened recently. Normal D-dimer levels suggest your clotting system is working properly. High levels might indicate recent clot formation and breakdown, helping doctors detect blood clots in lungs or legs, though it can also rise from infections, surgery, or inflammation."
Hematology – Coagulation,Fibrinogen,فحص الفيبرينوجين يدل على كمية الغراء الطارئ الجاهز في جسمك لسد الجروح. الفيبرينوجين بروتين في دمك يتحول إلى خيوط فيبرين عند الإصابة، مكوناً شبكة تحبس خلايا الدم لتكوين الجلطات. فكر فيه مثل وجود لفائف من الشريط اللاصق في صندوق عدتك - تحتاج شريطاً كافياً لإصلاح الأشياء عند كسرها. المستويات الطبيعية تعني أن لديك مواد تجلط كافية متاحة. قلة الفيبرينوجين تعني تكوين جلطات ضعيف ونزيف مفرط، بينما كثرته قد تزيد خطر تكوين جلطات دموية خطيرة عندما لا يجب أن تتكون.,"Fibrinogen is like checking how much emergency glue your body has ready to seal wounds. Fibrinogen is a protein in your blood that transforms into fibrin threads when you're injured, creating a mesh that traps blood cells to form clots. Think of it like having rolls of sticky tape in your toolbox - you need enough tape to fix things when they break. Normal fibrinogen levels mean you have sufficient clotting material available. Too little fibrinogen means poor clot formation and excessive bleeding, while too much can increase your risk of dangerous blood clots forming when they shouldn't."
Hematology – Coagulation,INR (International Normalized Ratio),فحص معدل التطبيع الدولي يدل على سرعة وصول فريق الاستجابة الطارئة في دمك إلى موقع الإصابة. يوحد مراقبة مميعات الدم مثل الوارفارين عبر مختبرات العالم. فكر فيه مثل مقارنة أوقات استجابة خدمات إسعاف مختلفة باستخدام نفس المقياس. المعدل الطبيعي حوالي 1.0 يعني أن دمك يتجلط بسرعة متوسطة. الأرقام الأعلى تعني تجلطاً أبطأ، وهو مرغوب عند تناول مميعات الدم لمنع الجلطات الخطيرة، لكن الارتفاع المفرط يزيد خطر النزيف. الأرقام الأقل تشير لتجلط أسرع، مما قد يعني الحاجة لتعديل الدواء.,"INR (International Normalized Ratio) is like measuring how quickly your blood's emergency response team arrives at an injury site. It standardizes warfarin blood thinner monitoring across different labs worldwide. Think of it like comparing response times of different ambulance services using the same measuring stick. Normal INR around 1.0 means your blood clots at average speed. Higher numbers mean slower clotting, which is desired when taking blood thinners to prevent dangerous clots, but too high increases bleeding risk. Lower numbers suggest faster clotting, which might mean medication adjustment is needed."
Hematology – Coagulation,PT (Prothrombin Time),فحص زمن البروثرومبين يدل على المدة التي يستغرقها فريق الإصلاح الطارئ في دمك للاستجابة للنداء. يقيس سرعة تكوين دمك للجلطات عبر أحد مسارات التجلط الرئيسية. فكر فيه مثل قياس سرعة ورشة إصلاح الإطارات في إصلاح الثقب - تريدها سريعة بما يكفي لوقف المشاكل لكن ليس سريعة جداً حتى لا تفرط في التفاعل. الزمن الطبيعي يعني أن نظام التجلط يستجيب بشكل مناسب. الأوقات الأطول تشير لتجلط أبطأ، مما قد يدل على مشاكل الكبد أو نقص فيتامين ك أو تأثيرات مميعات الدم. الأوقات الأقصر قد تعني زيادة خطر التجلط.,"PT (Prothrombin Time) is like timing how long it takes your blood's emergency repair crew to respond to a call. It measures how quickly your blood can form clots through one of its main clotting pathways. Think of it like measuring how fast a tire repair shop can fix a puncture - you want it quick enough to stop problems but not so fast that it overreacts. Normal PT means your clotting system responds appropriately. Longer times suggest slower clotting, which might indicate liver problems, vitamin K deficiency, or blood thinner effects. Shorter times could mean increased clotting risk."
Hematology – Coagulation,aPTT (Activated Partial Thromboplastin Time),فحص زمن الثرومبوبلاستين الجزئي المفعل يدل على سرعة تفعيل نظام الإصلاح الاحتياطي في دمك عندما يحتاج النظام الرئيسي للمساعدة. يقيس التجلط عبر مسار مختلف عن البروثرومبين، فاحصاً إذا كانت جميع عوامل التجلط تعمل معاً بشكل سليم. فكر فيه مثل وجود خدمتين طارئتين مختلفتين - الشرطة والإسعاف - واختبار استجابة الخدمة الاحتياطية عند الاستدعاء. الزمن الطبيعي يعني أن مسار التجلط الثانوي يعمل جيداً. الأوقات الأطول قد تدل على نقص عوامل التجلط أو أمراض الكبد أو تأثيرات مميعات الدم. يساعد هذا الفحص الأطباء في مراقبة علاج الهيبارين واكتشاف اضطرابات النزيف.,"aPTT (Activated Partial Thromboplastin Time) is like testing how quickly your blood's backup repair system kicks in when the main system needs help. It measures clotting through a different pathway than PT, checking if all your clotting factors are working together properly. Think of it like having two different emergency services - police and ambulance - and testing if the backup service responds when called. Normal aPTT means your secondary clotting pathway works well. Longer times might indicate clotting factor deficiencies, liver disease, or blood thinner effects. This test helps doctors monitor heparin therapy and detect bleeding disorders."
